word,definition
lawn,a field of cultivated and mowed grass
laze,be idle; exist in a changeless situation
lazy,moving slowly and gently
lead,an advantage held by a competitor in a race
leaf,the main organ of photosynthesis and transpiration in higher plants
leak,an accidental hole that allows something (fluid or light etc.) to enter or escape
leal,faithful and true; - Harry Lauder
lean,the property possessed by a line or surface that departs from the vertical
leap,"a light, self-propelled movement upwards or forwards"
lear,British artist and writer of nonsense verse (1812-1888)
lech,man with strong sexual desires
leda,(Greek mythology) a queen of Sparta who was raped by Zeus who had taken the form of a swan; Helen of Troy was conceived in the rape of Leda
lede,the introductory section of a story
leek,plant having a large slender white bulb and flat overlapping dark green leaves; used in cooking; believed derived from the wild Allium ampeloprasum
leer,a facial expression of contempt or scorn; the upper lip curls
lees,the sediment from fermentation of an alcoholic beverage
left,location near or direction toward the left side; i.e. the side to the north when a person or object faces east
lena,a Russian river in Siberia; flows northward into the Laptev Sea
lend,bestow a quality on
lens,a transparent optical device used to converge or diverge transmitted light and to form images
lent,a period of 40 weekdays from Ash Wednesday to Holy Saturday
leon,a historical area and former kingdom in northwestern Spain
less,(comparative of `little' usually used with mass nouns) a quantifier meaning not as great in amount or degree
lest,being ten more than forty
leto,wife or mistress of Zeus and mother of Apollo and Artemis in ancient mythology; called Latona in Roman mythology
levi,(New Testament) disciple of Jesus; traditionally considered to be the author of the first Gospel
levy,a charge imposed and collected
lewd,suggestive of or tending to moral looseness
liar,a person who has lied or who lies repeatedly
lick,a salt deposit that animals regularly lick
lied,a German art song of the 19th century for voice and piano
lief,in a willing manner
lien,the right to take another's property if an obligation is not discharged
lier,being one more than fifty
lieu,the post or function properly or customarily occupied or served by another
life,a characteristic state or mode of living
lifo,inventory accounting in which the most recently acquired items are assumed to be the first sold
lift,the act of giving temporary assistance
like,"a similar kind; ,"
lilt,a jaunty rhythm in music
lily,any liliaceous plant of the genus Lilium having showy pendulous flowers
lima,capital and largest city and economic center of Peru; located in western Peru; was capital of the Spanish empire in the New World until the 19th century
limb,one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
lime,a caustic substance produced by heating limestone
limn,trace the shape of
limp,the uneven manner of walking that results from an injured leg
line,a formation of people or things one beside another
ling,water chestnut whose spiny fruit has two rather than 4 prongs
link,the means of connection between things linked in series
lino,a floor covering
lint,fine ravellings of cotton or linen fibers
lion,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
lira,the basic unit of money on Malta; equal to 100 cents
lire,the basic unit of money on Malta; equal to 100 cents
lisp,a speech defect that involves pronouncing `s' like voiceless `th' and `z' like voiced `th'
list,a database containing an ordered array of items (names or topics)
lite,having relatively few calories
live,inhabit or live in; be an inhabitant of
liza,similar to the striped mullet and takes its place in the Caribbean region
load,weight to be borne or conveyed
loaf,a shaped mass of baked bread that is usually sliced before eating
loam,a rich soil consisting of a mixture of sand and clay and decaying organic materials
loan,the temporary provision of money (usually at interest)
lobe,(anatomy) a somewhat rounded subdivision of a bodily organ or part
loch,a long narrow inlet of the sea in Scotland (especially when it is nearly landlocked)
loci,the scene of any event or action (especially the place of a meeting)
lock,a fastener fitted to a door or drawer to keep it firmly closed
loco,informal or slang terms for mentally irregular
lode,a deposit of valuable ore occurring within definite boundaries separating it from surrounding rocks
loft,floor consisting of a large unpartitioned space over a factory or warehouse or other commercial space
loge,balcony consisting of the forward section of a theater mezzanine
logy,stunned or confused and slow to react (as from blows or drunkenness or exhaustion)
loin,a cut of meat taken from the side and back of an animal between the ribs and the rump
loir,large European dormouse
loll,hang loosely or laxly
lolo,a Loloish language
lone,lacking companions or companionship
long,desire strongly or persistently
look,the feelings expressed on a person's face
loom,a textile machine for weaving yarn into a textile
loon,a worthless lazy fellow
loop,fastener consisting of a metal ring for lining a small hole to permit the attachment of cords or lines
loot,goods or money obtained illegally
lope,a slow pace of running
lord,terms referring to the Judeo-Christian God
lore,knowledge gained through tradition or anecdote
lory,small brightly colored Australasian parrots having a brush-tipped tongue for feeding on nectar and soft fruits
lose,"fail to keep or to maintain; cease to have, either physically or in an abstract sense"
loss,something that is lost
lost,people who are destined to die soon
lota,a globular water bottle used in Asia
lots,a large number or amount
loud,characterized by or producing sound of great volume or intensity
lour,set lower
lout,an awkward stupid person
love,a strong positive emotion of regard and affection
luba,a member of a Bantu people in southeastern Congo
lube,a substance capable of reducing friction by making surfaces smooth or slippery
luce,United States publisher of magazines (1898-1967)
luck,your overall circumstances or condition in life (including everything that happens to you)
lucy,incomplete skeleton of female found in eastern Ethiopia in 1974
ludo,a simple board game in which players move counters according to the throw of dice
lues,a common venereal disease caused by the treponema pallidum spirochete; symptoms change through progressive stages; can be congenital (transmitted through the placenta)
luff,(nautical) the forward edge of a fore-and-aft sail that is next to the mast
luge,a racing sled for one or two people
luke,(New Testament) the Apostle closely associated with St. Paul and traditionally assumed to be the author of the third Gospel
lull,a pause during which things are calm or activities are diminished
lulu,a very attractive or seductive looking woman
lump,a compact mass
luna,(Roman mythology) the goddess of the Moon; counterpart of Greek Selene
lung,either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
lunt,United States actor who performed with his wife Lynn Fontanne in many stage productions (1893-1977)
lure,qualities that attract by seeming to promise some kind of reward
lurk,"lie in wait, lie in ambush, behave in a sneaky and secretive manner"
lush,a person who drinks alcohol to excess habitually
lust,a strong sexual desire
lute,a substance for packing a joint or coating a porous surface to make it impervious to gas or liquid
luxe,elegant and sumptuous
lynx,a text browser
lyon,a city in east-central France on the Rhone River; a principal producer of silk and rayon
lyra,a small constellation in the northern hemisphere near Cygnus and Draco; contains the star Vega
lyre,a harp used by ancient Greeks for accompaniment
mace,"(trademark) a liquid that temporarily disables a person; prepared as an aerosol and sprayed in the face, it irritates the eyes and causes dizziness and immobilization"
mack,a waterproof raincoat made of rubberized fabric
made,engage in
magh,the eleventh month of the Hindu calendar; corresponds to January in the Gregorian calendar
magi,(New Testament) the sages who visited Jesus and Mary and Joseph shortly after Jesus was born; the Gospel According to Matthew says they were guided by a star and brought gifts of gold and frankincense and myrrh; because there were three gifts it is usually assumed that there were three of them
maha,a member of the Siouan people formerly living in the Missouri river valley in northeastern Nebraska
maia,type genus of the Majidae; nearly cosmopolitan in distribution
maid,a female domestic
mail,the bags of letters and packages that are transported by the postal service
maim,injure or wound seriously and leave permanent disfiguration or mutilation
main,any very large body of (salt) water
maja,type genus of the Majidae; nearly cosmopolitan in distribution
make,a recognizable kind
mako,powerful mackerel shark of the Atlantic and Pacific
male,an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova)
mali,"a landlocked republic in northwestern Africa; achieved independence from France in 1960; Mali was a center of West African civilization for more than 4,000 years"
mall,a public area set aside as a pedestrian walk
malt,a milkshake made with malt powder
mamo,black honeycreepers with yellow feathers around the tail; now extinct
mane,long coarse hair growing from the crest of the animal's neck
mann,United States educator who introduced reforms that significantly altered the system of public education (1796-1859)
mans,an adult person who is male (as opposed to a woman)
manx,the ancient Gaelic formerly spoken on the Isle of Man; the language is sometimes used on ceremonial occasions
many,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number
mara,Hindu god of death; opposite of Kama
marc,made from residue of grapes or apples after pressing
mare,female equine animal
mari,a member of a rural Finnish people living in eastern Russia
mark,a number or letter indicating quality (especially of a student's performance)
marl,a loose and crumbling earthy deposit consisting mainly of calcite or dolomite; used as a fertilizer for soils deficient in lime
mars,a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color
mart,an area in a town where a public mercantile establishment is set up
mary,the mother of Jesus; Christians refer to her as the Virgin Mary; she is especially honored by Roman Catholics
masa,an independent group of closely related Chadic languages spoken in the area between the Biu-Mandara and East Chadic languages
mash,a mixture of mashed malt grains and hot water; used in brewing
mask,a covering to disguise or conceal the face
mass,the property of a body that causes it to have weight in a gravitational field
mast,a vertical spar for supporting sails
mate,the officer below the master on a commercial ship
math,a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
mats,a thick flat pad used as a floor covering
matt,the property of having little or no contrast; lacking highlights or gloss
maul,a heavy long-handled hammer used to drive stakes or wedges
maya,a member of an American Indian people of Yucatan and Belize and Guatemala who had a culture (which reached its peak between AD 300 and 900) characterized by outstanding architecture and pottery and astronomy
mayo,egg yolks and oil and vinegar
maze,complex system of paths or tunnels in which it is easy to get lost
mazy,resembling a labyrinth in form or complexity
mead,United States anthropologist noted for her claims about adolescence and sexual behavior in Polynesian cultures (1901-1978)
meal,the food served and eaten at one time
mean,an average of n numbers computed by adding some function of the numbers and dividing by some function of n
meat,the flesh of animals (including fishes and birds and snails) used as food
meed,a fitting reward
meek,humble in spirit or manner; suggesting retiring mildness or even cowed submissiveness
meet,a meeting at which a number of athletic contests are held
meld,a form of rummy using two decks of cards and four jokers; jokers and deuces are wild; the object is to form groups of the same rank
melt,the process whereby heat changes something from a solid to a liquid
memo,a written proposal or reminder
mend,sewing that repairs a worn or torn hole (especially in a garment)
menu,a list of dishes available at a restaurant
mere,a small pond of standing water
merl,common black European thrush
mesa,flat tableland with steep edges
mesh,the number of openings per linear inch of a screen; measures size of particles
mess,a state of confusion and disorderliness
mete,a line that indicates a boundary
mewl,cry weakly or softly
miao,a people living traditionally in mountain villages in southern China and adjacent areas of Vietnam and Laos and Thailand; many have emigrated to the United States
mica,any of various minerals consisting of hydrous silicates of aluminum or potassium etc. that crystallize in forms that allow perfect cleavage into very thin leaves; used as dielectrics because of their resistance to electricity
mice,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
mick,(ethnic slur) offensive term for a person of Irish descent
mien,dignified manner or conduct
miff,a state of irritation or annoyance
mike,device for converting sound waves into electrical energy
mild,moderate in type or degree or effect or force; far from extreme
mile,"a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters"
milk,a white nutritious liquid secreted by mammals and used as food by human beings
mill,a plant consisting of one or more buildings with facilities for manufacturing
milo,small drought-resistant sorghums having large yellow or whitish grains
milt,fish sperm or sperm-filled reproductive gland; having a creamy texture
mime,an actor who communicates entirely by gesture and facial expression
mina,tropical Asian starlings
mind,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
mine,excavation in the earth from which ores and minerals are extracted
ming,the imperial dynasty of China from 1368 to 1644
mink,the expensive fur of a mink
mint,(often followed by `of') a large number or amount or extent
minx,a seductive woman who uses her sex appeal to exploit men
mire,a soft wet area of low-lying land that sinks underfoot
miro,New Zealand conifer used for lumber; the dark wood is used for interior carpentry
miry,(of soil) soft and watery
miss,a young woman
mist,a thin fog with condensation near the ground
mite,a slight but appreciable amount
mitt,the (prehensile) extremity of the superior limb
moan,an utterance expressing pain or disapproval
moat,ditch dug as a fortification and usually filled with water
mock,the act of mocking or ridiculing
mode,how something is done or how it happens
moho,the boundary between the Earth's crust and the underlying mantle
moil,work hard
mojo,a magic power or magic spell
moke,British informal for donkey
mola,among the largest bony fish; pelagic fish having an oval compressed body with high dorsal and anal fins and caudal fin reduced to a rudder-like lobe; worldwide in warm waters
mold,the distinctive form in which a thing is made
mole,the molecular weight of a substance expressed in grams; the basic unit of amount of substance adopted under the Systeme International d'Unites
moll,the girlfriend of a gangster
molt,periodic shedding of the cuticle in arthropods or the outer skin in reptiles
mona,an island to the northwest of Wales
monk,a male religious living in a cloister and devoting himself to contemplation and prayer and work
mono,an acute disease characterized by fever and swollen lymph nodes and an abnormal increase of mononuclear leucocytes or monocytes in the bloodstream; not highly contagious; some believe it can be transmitted by kissing
mood,a characteristic (habitual or relatively temporary) state of feeling
moon,the natural satellite of the Earth
moor,one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century
moot,a hypothetical case that law students argue as an exercise
mope,someone who wastes time
more,"English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state"
morn,the time period between dawn and noon
moro,a member of the predominantly Muslim people in the southern Philippines
moss,tiny leafy-stemmed flowerless plants
most,(superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number
mote,(nontechnical usage) a tiny piece of anything
moth,typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae
mott,United States feminist and suffragist (1793-1880)
move,the act of deciding to do something
mown,cut with a blade or mower
much,a great amount or extent
muck,"any thick, viscous matter"
muff,a warm tubular covering for the hands
muir,United States naturalist (born in England) who advocated the creation of national parks (1838-1914)
mule,hybrid offspring of a male donkey and a female horse; usually sterile
mull,a term used in Scottish names of promontories
mung,erect bushy annual widely cultivated in warm regions of India and Indonesia and United States for forage and especially its edible seeds; chief source of bean sprouts used in Chinese cookery; sometimes placed in genus Phaseolus
munj,tough Asiatic grass whose culms are used for ropes and baskets
murk,an atmosphere in which visibility is reduced because of a cloud of some substance
musa,type genus of the Musaceae: bananas
muse,in ancient Greek mythology any of 9 daughters of Zeus and Mnemosyne; protector of an art or science
mush,any soft or soggy mass
musk,an odorous glandular secretion from the male musk deer; used as a perfume fixative
muss,a state of confusion and disorderliness
must,a necessary or essential thing
mute,a deaf person who is unable to speak
mutt,an inferior dog or one of mixed breed
myna,tropical Asian starlings
myth,a traditional story accepted as history; serves to explain the world view of a people
nabs,tag the base runner to get him out
nabu,Babylonian god of wisdom and agriculture and patron of scribes and schools
naga,Kamarupan languages spoken in northeastern India and western Burma
naif,a naive or inexperienced person
nail,horny plate covering and protecting part of the dorsal surface of the digits
naja,cobras
name,a language unit by which a person or thing is known
napa,plant with an elongated head of broad stalked leaves resembling celery; used as a vegetable in east Asia
nape,the back side of the neck
napu,chevrotain somewhat larger than the kanchil; found in India and Malaya
nard,an aromatic ointment used in antiquity
nark,an informer or spy working for the police
nary,(used with singular count nouns) colloquial for `not a' or `not one' or `never a'
nash,United States writer noted for his droll epigrams (1902-1971)
nast,United States political cartoonist (1840-1902)
nave,the central area of a church
navy,an organization of military vessels belonging to a country and available for sea warfare
naze,a cape at the southern tip of Norway
nazi,a German member of Adolf Hitler's political party
neap,a less than average tide occurring at the first and third quarters of the moon
near,move towards
neat,clean or organized
neck,the part of an organism (human or animal) that connects the head to the rest of the body
need,a condition requiring relief
neem,large semi-evergreen tree of the East Indies; trunk exudes a tenacious gum; bitter bark used as a tonic; seeds yield an aromatic oil; sometimes placed in genus Melia
neer,(meaning literally `born') used to indicate the maiden or family name of a married woman
nejd,a central plateau region of the Arabian Peninsula; formerly an independent sultanate until 1932 when it united with Hejaz to form the Kingdom of Saudi Arabia
neon,a colorless odorless gaseous element that give a red glow in a vacuum tube; one of the six inert gasses; occurs in the air in small amounts
nepa,type genus of the Nepidae: typical elongate-oval water scorpions
ness,a strip of land projecting into a body of water
nest,a structure in which animals lay eggs or give birth to their young
neve,the upper part of a glacier (beyond the limit of perpetual snow) where the snow turns to ice
news,information about recent and important events
newt,small usually bright-colored semiaquatic salamanders of North America and Europe and northern Asia
next,immediately following in time or order
nibs,the writing point of a pen
nice,a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
nick,an impression in a surface (as made by a blow)
nidi,a central point or locus of an infection in an organism
nigh,not far distant in time or space or degree or circumstances
nile,the world's longest river (4150 miles); flows northward through eastern Africa into the Mediterranean; the Nile River valley in Egypt was the site of the world's first great civilization
nils,a quantity of no importance
nina,the Babylonian goddess of the watery deep and daughter of Ea
nine,the cardinal number that is the sum of eight and one
nipa,monotypic genus of palms of Australasia
noah,the Hebrew patriarch who saved himself and his family and the animals by building an ark in which they survived 40 days and 40 nights of rain; the story of Noah and the flood is told in the Book of Genesis
nobs,informal term for an upper-class or wealthy person
nock,make small marks into the surface of
node,a connecting point at which several lines come together
noel,period extending from Dec. 24 to Jan. 6
noma,acute ulceration of the mucous membranes of the mouth or genitals; often seen in undernourished children
nome,a town in western Alaska on the southern coast of the Seward Peninsula; an important center of an Alaskan gold rush at the beginning of the 20th century
none,a canonical hour that is the ninth hour of the day counting from sunrise
nook,a sheltered and secluded place
noon,the middle of the day
norm,a standard or model or pattern regarded as typical
norn,(Norse mythology) any of the three goddesses of destiny; identified with Anglo-Saxon Wyrd; similar to Greek Moirae and Roman Parcae
nose,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals
nosy,offensively curious or inquisitive
note,a brief written record
noun,"a content word that can be used to refer to a person, place, thing, quality, or action"
nous,common sense
nova,a star that ejects some of its material in the form of a cloud and become more luminous in the process
nuda,ctenophores lacking tentacles; comprises one genus: beroe
nude,a painting of a naked human figure
nuke,the warhead of a missile designed to deliver an atom bomb
null,a quantity of no importance
numb,make numb or insensitive
oast,a kiln for drying hops
oath,profane or obscene expression usually of surprise or anger
obey,be obedient to
obit,a notice of someone's death; usually includes a short biography
oboe,a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece
odds,the likelihood of a thing occurring rather than not occurring
odin,(Norse mythology) ruler of the Aesir; supreme god of war and poetry and knowledge and wisdom (for which he gave an eye) and husband of Frigg; identified with the Teutonic Wotan
odor,any property detected by the olfactory system
ogee,a molding that (in section) has the shape of an S with the convex part above and the concave part below
ogle,look at with amorous intentions
ogre,a cruel wicked and inhuman person
ohio,a midwestern state in north central United States in the Great Lakes region
oily,containing an unusual amount of grease or oil
okra,long green edible beaked pods of the okra plant
olea,evergreen trees and shrubs having oily one-seeded fruits
oleo,a spread made chiefly from vegetable oils and used as a substitute for butter
olla,leaf or strip from a leaf of the talipot palm used in India for writing paper
oman,a strategically located monarchy on the southern and eastern coasts of the Arabian Peninsula; the economy is dominated by oil
omen,a sign of something about to happen
omit,prevent from being included or considered or accepted
once,on one occasion
oner,in operation or operational
only,being the only one; single and isolated from others
onus,an onerous or difficult concern
onyx,a chalcedony with alternating black and white bands; used in making cameos
ooze,"any thick, viscous matter"
oozy,leaking out slowly
opah,large elliptical brightly colored deep-sea fish of Atlantic and Pacific and Mediterranean
opal,a translucent mineral consisting of hydrated silica of variable color; some varieties are used as gemstones
open,a clear or unobstructed space or expanse of land or water
opus,a musical work that has been created
orad,toward the mouth or oral region
oral,an examination conducted by spoken communication
orca,predatory black-and-white toothed whale with large dorsal fin; common in cold seas
orgy,any act of immoderate indulgence
oryx,large African antelope with long straight nearly upright horns
otic,of or relating to near the ear
otis,United States inventor who manufactured the first elevator with a safety device (1811-1861)
otus,a genus of Strigidae
ours,
oust,remove from a position or office
oval,a closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it
oven,kitchen appliance used for baking or roasting
over,(cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch
ovis,sheep
ovum,the female reproductive cell; the female gamete
owen,Welsh industrialist and social reformer who founded cooperative communities (1771-1858)
oxen,domesticated bovine animals as a group regardless of sex or age; ; ; - Bible
paba,a metabolic acid found in yeast and liver cells; used to make dyes and drugs and sun blockers
paca,large burrowing rodent of South America and Central America; highly esteemed as food
pace,the rate of moving (especially walking or running)
pack,a large indefinite number
pact,a written agreement between two states or sovereigns
page,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
pail,a roughly cylindrical vessel that is open at the top
pain,a symptom of some physical hurt or disorder
pair,a set of two similar things considered as a unit
pale,a wooden strip forming part of a fence
pali,an ancient Prakrit language (derived from Sanskrit) that is the scriptural and liturgical language of Theravada Buddhism
pall,a sudden numbing dread
palm,the inner surface of the hand from the wrist to the base of the fingers
pane,sheet glass cut in shapes for windows or doors
pang,a sudden sharp feeling
pant,the noise made by a short puff of steam (as from an engine)
papa,an informal term for a father; probably derived from baby talk
para,(obstetrics) the number of liveborn children a woman has delivered
pare,decrease gradually or bit by bit
park,a large area of land preserved in its natural state as public property
parr,Queen of England as the 6th wife of Henry VIII (1512-1548)
part,something determined in relation to something that includes it
pass,(baseball) an advance to first base by a batter who receives four balls
past,the time that has elapsed
pate,liver or meat or fowl finely minced or ground and variously seasoned
path,a course of conduct
paul,United States feminist (1885-1977)
pave,a setting with precious stones so closely set that no metal shows
pavo,a small constellation near the South Pole between Tucana and Ara
pawl,a hinged catch that fits into a notch of a ratchet to move a wheel forward or prevent it from moving backward
pawn,an article deposited as security
peag,small cylindrical beads made from polished shells and fashioned into strings or belts; used by certain Native American peoples as jewelry or currency
peak,the most extreme possible amount or value
peal,a deep prolonged sound (as of thunder or large bells)
pean,(ancient Greece) a hymn of praise (especially one sung in ancient Greece to invoke or thank a deity)
pear,sweet juicy gritty-textured fruit available in many varieties
peat,partially carbonized vegetable matter saturated with water; can be used as a fuel when dried
peba,having nine hinged bands of bony plates; ranges from Texas to Paraguay
peck,(often followed by `of') a large number or amount or extent
peed,eliminate urine
peek,a secret look
peel,British politician (1788-1850)
peen,the part of a hammerhead opposite the flat striking surface (may have various shapes)
peep,the short weak cry of a young bird
peer,a person who is of equal standing with another in a group
pelf,informal terms for money
pelt,the dressed hairy coat of a mammal
pent,produce a literary work
peon,a laborer who is obliged to do menial work
peri,a beautiful and graceful girl
perk,an incidental benefit awarded for certain types of employment (especially if it is regarded as a right)
perm,a city in the European part of Russia
pert,characterized by a lightly pert and exuberant quality
peru,a republic in western South America; achieved independence from Spain in 1821; was the heart of the Inca empire from the 12th to 16th centuries
peso,the basic unit of money in Uruguay; equal to 100 centesimos
pess,the part of the leg of a human being below the ankle joint
pest,a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
peul,a family of languages of the Fulani of West Africa and used as a lingua franca in the sub-Saharan regions from Senegal to Chad; the best known of the West African languages
phiz,English illustrator of several of Dickens' novels (1815-1882)
phon,a unit of subjective loudness
phot,"a unit of illumination equal to 1 lumen per square centimeter; 10,000 phots equal 1 lux"
pica,"an eating disorder, frequent in children, in which non-nutritional objects are eaten persistently"
pick,the person or thing chosen or selected
pied,having sections or patches colored differently and usually brightly
pier,a platform built out from the shore into the water and supported by piles; provides access to ships and boats
pika,small short-eared burrowing mammal of rocky uplands of Asia and western North America
pike,a broad highway designed for high-speed traffic
pile,a collection of objects laid on top of each other
pill,something that resembles a tablet of medicine in shape or size
pima,a member of the North American Indian people living in southern Arizona and northern Mexico
pimp,someone who procures customers for whores (in England they call a pimp a ponce)
pine,a coniferous tree
ping,a river in western Thailand; a major tributary of the Chao Phraya
pink,a light shade of red
pint,a British imperial capacity measure (liquid or dry) equal to 4 gills or 568.26 cubic centimeters
pipa,type genus of the Pipidae
pipe,a tube with a small bowl at one end; used for smoking tobacco
piss,liquid excretory product
pita,usually small round bread that can open into a pocket for filling
pith,soft spongelike central cylinder of the stems of most flowering plants
pity,a feeling of sympathy and sorrow for the misfortunes of others
pixy,creeping evergreen shrub having narrow overlapping leaves and early white star-shaped flowers; of the pine barrens of New Jersey and the Carolinas
plan,a series of steps to be carried out or goals to be accomplished
plat,a map showing planned or actual features of an area (streets and building lots etc.)
play,a dramatic work intended for performance by actors on a stage
plea,a humble request for help from someone in authority
pleb,one of the common people
pled,appeal or request earnestly
plod,the act of walking with a slow heavy gait
plop,the noise of a rounded object dropping into a liquid without a splash
plot,a secret scheme to do something (especially something underhand or illegal)
plow,a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
ploy,an opening remark intended to secure an advantage for the speaker
plug,blockage consisting of an object designed to fill a hole tightly
plum,any of several trees producing edible oval fruit having a smooth skin and a single hard stone
plus,a useful or valuable quality
pobs,a numbered compartment in a post office where mail is put to be called for
pock,a pustule in an eruptive disease
poem,a composition written in metrical feet forming rhythmical lines
poet,a writer of poems (the term is usually reserved for writers of good poetry)
pogy,money received from the state
poke,tall coarse perennial American herb having small white flowers followed by blackish-red berries on long drooping racemes; young fleshy stems are edible; berries and root are poisonous
poky,a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
pole,a long (usually round) rod of wood or metal or plastic
polk,11th President of the United States; his expansionism led to the Mexican War and the annexation of California and much of the southwest (1795-1849)
poll,an inquiry into public opinion conducted by interviewing a random sample of people
polo,Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)
pome,a fleshy fruit (apple or pear or related fruits) having seed chambers and an outer fleshy part
pomo,a member of an Indian people of northern California living along the Russian River valley and adjacent Pacific coast
pomp,cheap or pretentious or vain display
pond,a small lake
pone,cornbread often made without milk or eggs and baked or fried (southern)
pong,an unpleasant smell
pony,a range horse of the western United States
poof,offensive term for an openly homosexual man
pool,an excavation that is (usually) filled with water
poon,wood of any poon tree; used for masts and spars
poop,obscene terms for feces
poor,people without possessions or wealth (considered as a group)
pope,the head of the Roman Catholic Church
pore,any tiny hole admitting passage of a liquid (fluid or gas)
pork,meat from a domestic hog or pig
port,a place (seaport or airport) where people and merchandise can enter or leave a country
pose,affected manners intended to impress others
posh,elegant and fashionable; ; ; ; - Julia Child
post,the position where someone (as a guard or sentry) stands or is assigned to stand
posy,an arrangement of flowers that is usually given as a present
pouf,offensive term for an openly homosexual man
pour,cause to run
pout,a disdainful grimace
pram,a small vehicle with four wheels in which a baby or child is pushed around
prat,the fleshy part of the human body that you sit on
pray,"address a deity, a prophet, a saint or an object of worship; say a prayer"
prep,preparatory school work done outside school (especially at home)
prey,a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
prig,a person regarded as arrogant and annoying
prim,assume a prim appearance
prod,a verbalization that encourages you to attempt something
prof,someone who is a member of the faculty at a college or university
prop,a support placed beneath or against something to keep it from shaking or falling
prow,front part of a vessel or aircraft
puce,a color varying from dark purplish brown to dark red
puck,a mischievous sprite of English folklore
puff,a short light gust of air
puka,South American shrub or small tree having long shining evergreen leaves and panicles of green or yellow flowers
puke,a person who is deemed to be despicable or contemptible
puku,an African antelope closely related to the waterbuck
pule,cry weakly or softly
puli,100 puls equal 1 afghani in Afghanistan
pull,the act of pulling; applying force to move something toward or with you
pulp,any soft or soggy mass
puma,large American feline resembling a lion
pump,a mechanical device that moves fluid or gas by pressure or suction
pung,a one-horse sleigh consisting of a box on runners
punk,an aggressive and violent young criminal
punt,formerly the basic unit of money in Ireland; equal to 100 pence
puny,inferior in strength or significance
pupa,an insect in the inactive stage of development (when it is not feeding) intermediate between larva and adult
pure,free of extraneous elements of any kind
purl,gold or silver wire thread
purr,a low vibrating sound typical of a contented cat
push,the act of applying force in order to move something away
puss,obscene terms for female genitals
putt,hitting a golf ball that is on the green using a putter
pyre,wood heaped for burning a dead body as a funeral rite
qoph,the 19th letter of the Hebrew alphabet
quad,one of four children born at the same time from the same pregnancy
quag,a soft wet area of low-lying land that sinks underfoot
quat,the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant
quay,wharf usually built parallel to the shoreline
quid,the basic unit of money in Great Britain and Northern Ireland; equal to 100 pence
quin,one of five children born at the same time from the same pregnancy
quip,a witty saying
quit,put an end to a state or an activity
quiz,an examination consisting of a few short questions
race,any competition
rack,framework for holding objects
racy,full of zest or vigor
raft,a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
rage,a feeling of intense anger
raid,a sudden short attack
rail,a barrier consisting of a horizontal bar and supports
rain,water falling in drops from vapor condensed in the atmosphere
raja,a prince or king in India
rake,a dissolute man in fashionable society
rama,avatar of Vishnu whose name is synonymous with God; any of three incarnations: Ramachandra or Parashurama or Balarama
rami,the posterior part of the mandible that is more or less vertical
ramp,an inclined surface connecting two levels
rana,type genus of the Ranidae
rand,the basic unit of money in South Africa; equal to 100 cents
rang,sound loudly and sonorously
rani,(the feminine of raja) a Hindu princess or the wife of a raja
rank,a row or line of people (especially soldiers or police) standing abreast of one another
rant,a loud bombastic declamation expressed with strong emotion
rape,Eurasian plant cultivated for its seed and as a forage crop
rapt,feeling great rapture or delight
rare,not widely known; especially valued for its uncommonness
rase,tear down so as to make flat with the ground
rash,any red eruption of the skin
rasp,uttering in an irritated tone
